,Class
43428,1
49906,0
29474,0
276481,0
278846,0
101565,0
260880,0
214337,0
201575,0
81055,0
134976,0
237701,0
256836,0
97650,0
158290,0
246697,0
68279,0
267585,0
26525,0
74422,0
206357,0
257395,0
283656,0
231156,0
38442,0
225485,0
92410,0
10828,0
61461,0
134354,0
45265,0
151374,0
219257,0
49275,0
113769,0
205650,0
250467,0
194599,0
266912,0
228215,0
259706,0
149066,0
68119,0
225255,0
21934,0
105030,0
114027,0
178329,0
109526,0
32278,0
233533,0
76922,0
187045,0
149100,0
133186,0
89165,0
138728,0
161808,0
15816,0
150994,0
79591,0
36749,0
28828,0
232448,0
28195,0
240146,0
240449,0
49296,0
14176,0
80419,0
210194,0
177473,0
81436,0
104674,0
102058,0
237523,0
51750,0
93581,0
228491,0
217792,0
276741,0
71345,0
234744,0
7730,0
35730,0
24338,0
44942,0
80953,0
212975,0
209862,0
91821,0
208257,0
185213,0
265204,0
188412,0
11648,0
252178,0
162203,0
221033,0
147106,0
8807,0
233230,0
89417,0
2148,0
282281,0
229140,0
46279,0
161937,0
36359,0
216467,0
247263,0
77433,0
245010,0
171620,0
264632,0
120657,0
22663,0
182123,0
65176,0
28573,0
212097,0
251508,0
146884,0
85755,0
164870,0
125184,0
12619,0
21632,0
126253,0
130301,0
199970,0
181017,0
62340,0
71594,0
182194,0
16463,0
139368,0
227342,0
77100,0
253102,0
204105,0
169003,0
185094,0
61547,0
178521,0
8005,0
188739,0
236903,0
28355,0
93451,0
252308,0
262154,0
217564,0
215451,0
180677,0
183782,0
200090,0
140671,0
129034,0
75598,0
35582,0
80510,0
59205,0
267503,0
97961,0
95510,0
74053,0
186462,0
190894,0
26657,0
116762,0
227946,0
53838,0
110885,0
205363,0
126257,0
251094,0
81490,0
123810,0
110585,0
260891,0
65622,0
224048,0
83874,0
216522,0
125294,0
72945,0
121524,0
179668,0
97145,0
1831,0
141620,0
19165,0
217459,0
114243,0
258742,0
106353,0
75136,0
94454,0
72139,0
38696,0
36693,0
165349,0
80063,0
24040,0
8648,0
110096,0
137372,0
199550,0
203939,0
202828,0
86982,0
155131,0
203787,0
75930,0
198120,0
144567,0
111538,0
263609,0
91834,0
79277,0
206731,0
2231,0
241465,0
107531,0
128382,0
190768,0
198140,0
10481,0
257021,0
16006,0
187214,0
278295,0
126178,0
129422,0
235850,0
18483,0
4523,0
20090,0
118979,0
96768,0
177449,0
281613,0
180478,0
98987,0
205935,0
65440,0
53575,0
174119,0
33201,0
210165,0
38536,0
78200,0
1131,0
12615,0
180858,0
203419,0
117029,0
211347,0
25642,0
244477,0
77513,0
48209,0
154920,0
181504,0
200407,0
118552,0
124667,0
173427,0
205208,0
15127,0
133116,0
71625,0
7851,0
192348,0
117962,0
147498,0
24310,0
257146,0
189750,0
16584,0
74995,0
208086,0
83204,0
121453,0
142074,0
90063,0
85988,0
43621,0
124219,0
97485,0
139522,0
94885,0
59267,0
154475,0
69107,0
6469,0
260159,0
173039,0
92830,0
279083,0
183519,0
128837,0
181362,0
136657,0
247717,0
28318,0
223441,0
283466,0
224257,0
99535,0
156665,0
44255,0
52623,0
122631,0
41020,0
219387,0
15504,0
176183,0
234175,0
47126,0
190010,0
247227,0
117395,0
133303,0
162966,0
13835,0
83357,0
157649,0
263243,0
119204,0
38120,0
154803,0
78952,0
67023,0
223911,0
7802,0
265271,0
31243,0
151743,0
39234,0
174912,0
266658,0
218533,0
39334,0
93199,0
154675,0
124265,0
170136,0
107548,0
42172,0
44975,0
271159,0
220824,0
231465,0
202530,0
91242,0
240654,0
92299,0
248333,0
130617,0
104001,0
267294,0
173936,0
90190,0
51662,0
13279,0
282521,0
192556,0
103626,0
248582,0
174610,0
123393,0
132884,0
134493,0
248143,0
165787,0
174783,0
90350,0
274332,0
94936,0
9256,0
69886,0
25241,0
156300,0
190702,0
69073,0
243970,0
7540,0
257680,0
253425,0
157070,0
161419,0
32351,0
84181,0
228049,0
15382,0
135913,0
184726,0
183796,0
184194,0
249254,0
50225,0
142253,0
220262,0
162205,0
35681,0
224345,0
261603,0
82211,0
238652,0
215872,0
275451,0
117217,0
110571,0
50634,0
35637,0
79338,0
89641,0
278380,0
129657,0
277677,0
20072,0
146248,0
53856,0
257574,0
249639,0
149135,0
220443,0
109134,0
18965,0
211533,0
270802,0
167468,0
129536,0
233058,0
196419,0
212596,0
59576,0
255260,0
113322,0
216816,0
196720,0
247392,0
197522,0
121183,0
79117,0
264866,0
150591,0
28113,0
159220,0
141709,0
69989,0
242698,0
154500,0
58855,0
88320,0
39124,0
73692,0
205450,0
34529,0
268721,0
163198,0
113740,0
90396,0
51484,0
276269,0
69332,0
281577,0
25560,0
160339,0
102965,0
129245,0
143371,0
137511,0
255381,0
177227,0
44407,0
130379,0
46615,0
167680,0
121366,0
236761,0
164150,0
82076,0
221532,0
4734,0
267226,0
64725,0
273536,0
44292,0
38126,0
145223,0
103790,0
54990,0
39584,0
112906,0
95744,0
224484,0
51336,0
263105,0
35817,0
191671,0
38058,0
169793,0
197646,0
44318,0
239304,0
108549,0
80866,0
116073,0
64438,0
178959,0
164717,0
251020,0
26370,0
244503,0
74557,0
123752,0
160772,0
50876,0
27240,0
133510,0
186850,0
240648,0
166690,0
80694,0
61694,0
164681,0
110963,0
173778,0
208481,0
223976,0
75846,0
85447,0
201598,0
920,0
115861,0
201655,0
196400,0
160917,0
261847,0
224972,0
269247,0
94536,0
160630,0
277805,0
273049,0
77823,0
100912,0
65194,0
259937,0
220633,0
145071,0
225710,0
131191,0
70468,0
180844,0
254316,0
8361,0
46355,0
156538,0
113596,0
122008,0
267899,0
116404,1
156051,0
42088,0
198780,0
31398,0
224085,0
121498,0
268128,0
109539,0
211265,0
238397,0
253859,0
41092,0
85200,0
223708,0
81351,0
5122,0
54688,0
43754,0
17468,0
144822,0
267087,0
141437,0
21890,0
212290,0
117609,0
101899,0
198656,0
272818,0
138193,0
149495,0
142673,0
178484,0
55559,0
259741,0
240207,0
274949,0
108665,0
210923,0
8488,0
107933,0
116166,0
112770,0
31575,0
120944,0
131668,0
234575,0
122321,0
175791,0
82130,0
49309,0
281308,0
9914,0
210215,0
113164,0
154372,0
239016,0
277576,0
260680,0
212417,0
26305,0
159885,0
123956,0
114184,0
131915,0
168952,0
25231,0
149800,0
232420,0
83666,0
262405,0
63882,0
256581,0
99391,0
230405,0
70611,0
242472,0
234311,0
140235,0
39326,0
224651,0
39527,0
276140,0
95444,0
16406,0
235859,0
184270,0
34930,0
220594,0
79717,0
244468,0
248645,0
236800,0
231741,0
191926,0
98494,0
70433,0
229847,0
67812,0
133095,0
197425,0
16929,0
43330,0
129446,0
82993,0
217532,0
181238,0
170193,0
87403,0
193315,0
88141,0
191403,0
35388,0
214610,0
143118,0
18574,0
266831,0
171491,0
134665,0
116262,0
245181,0
258107,0
52090,0
123583,0
150550,0
64032,0
